address,balance
DAG4obkomAbYzsFKpjBBCQzT1nZLXTvkwphgk3He,1000000000000
DAG7jifsAETg4uxS6iDG5chHt6BKp8LBeAGkstD5,1000000000000
DAG5LCpAFowbvJp6MGZokhsLKc8fBdgkZkCqQsbe,1000000000000
DAG6zAv12tPzYzTtSKP9X1xWF8ZYZdxFzvJzL9V3,1000000000000
DAG1PmLukGd41svMD8wyi5Zfymu7T3dQhywqodmf,1000000000000
DAG36jJ3isDaoEpUAE51zQGwAsGX96kHTJXijopZ,1000000000000
DAG5rvYURqNmvvcgAYvkauRoevGWv5VVhaUUpdqc,1000000000000
DAG8ictU8nrH3onP2X1MY6uxbtsTEAsLFtj6ojhF,1000000000000
DAG2AnjaiuXxJgriap91xQMJaR2tn8WtUZvZhxkX,1000000000000
DAG6Q1xNfSX4pe43yWpAj7SWd5cgQyvFzVfEpAoV,1000000000000
DAG4QWAsGLwLbGD8nAKA7zub4Z8P9tYMknqo2HW2,1000000000000
DAG0C3gBSUBMW3d5bt8UPnpytRbyEqxhSSTAz8gx,1000000000000
DAG4BV8seT9caxk4cjzry1hgxTs6e3YwqMbrmHpo,1000000000000
DAG8yXVXBo79GB3KUVM1aXDCFWwwg49wVZej2HXt,1000000000000
DAG3DASvi1tuZuHpnk4gBiDdUJeGiZN2Wz5WwdfU,1000000000000
DAG83MJ3KjEFTyyokgfFprkdP8dkjphZ5E7pEiJR,1000000000000
DAG0Nhw7xGGpEtyYGpeFkwje446sxyt9t6QHrrnk,1000000000000
DAG4NNfeqxgihR85XhDoNXczHPZSTLXyexdDSQHn,1000000000000
DAG6LnnqZrMXjy4FHtCbyBkqaaqqfEG2bCWkwjUa,1000000000000
DAG2YAVjrtn8RAKgeezxLGxqguaiwD72isPP3neN,1000000000000
DAG1bMuf3yxiWVzYreaNcmzn7HrXHiEACJHFmj9c,1000000000000
DAG7bH2MHJcoLtwTMvxtzcaNHpiBGuDcBr83FL3K,1000000000000
DAG5YsKVsRFFbPYMBi6FzHCe9tT26aBUnxKtFTaa,1000000000000
DAG6rxjTSUSnyogyJ49TpEyzTfsjQMmUdHmGh2mP,1000000000000
DAG38mSXcaUJfHVse5M77fB79dhUPavMf5oxemyo,1000000000000
DAG8enfti8kBZDGLCVKRGSfkdeAibTyuqBAqnhTH,1000000000000
DAG6DPH6nTnadSb3EaWcVbkaostq4n81y56ogPvp,1000000000000
DAG7gNor6N77rVKVu1X51ePC6ThF98WtmStr2QL9,1000000000000
DAG0PdWAjzeQo8oq9YJi44jTm7H4KkEFUbmAdkjB,1000000000000
DAG2pWKuRUcm4MUD2BGk4SoGjvffKpF1oZznJizB,1000000000000
DAG6PApfGGv4dTAo5xaa1XzVbXnMVnNC1cvq679P,1000000000000
DAG4h4cTC2QpZSTFSZaW7vvCVvEj1ZNBbRWtC8GP,1000000000000
DAG5WZhw7hSKBW1kVqFJmLYR1UCr9r6RixQ6UL2N,1000000000000
DAG7PrZDViHzZRS2g8BsMYKSSCmJuHj69rbEqLhF,1000000000000
DAG0p4iWmHcsdiKZhAR68Pncb34eLB6rUMT5yePS,1000000000000
DAG0wCKemFMdmF1efA8B3sFUrBrvWfeDrzy6ybAa,1000000000000
DAG6Ct8Q5cP9aiLgKwXtEhFkPeBLtzJhgZxt5c6X,1000000000000
DAG68reTAxWDFgSp2WV55SL6a6zTrT8EHLbH5XZ6,1000000000000
DAG7EmSs829PBUJacqsPoTxS61oaKfiY952cw2A8,1000000000000
DAG6njwpkPpEFY88Hbqhp8QVr12puKkewc35VUb7,1000000000000
DAG87xLb5ys7SB4jkSkSDpjVwzaHWCK5NRadq7yg,1000000000000
DAG5peTSitLT2wDtQnNgMNac41BNdZWjRdpCA7PS,1000000000000
DAG5Zq2g6ZPbJpy7kip2F3yQSvXoZY93PHLb8J1c,1000000000000
DAG3bQ6vjTq6Fs2sVdi2iL2zoGwjirG6j6DL9Teu,1000000000000
DAG2HBin8Q84ZGYdWzdXHwmEgKPp8S84wGa7pkpF,1000000000000
DAG06Zz7nr5NmgKE83V7g1z3EgSxiZf92HBAyp57,1000000000000
DAG6HFsTZJq4Ara85NwXxxWWbtHbBq547Bprirat,1000000000000
DAG6gbpWWnor3QYViS1mDDfjLpNV6adSTEKaY5FX,1000000000000
DAG4Bei8iKhDnjipWwWD5zMceHRXoBZyJvkUR9YB,1000000000000
DAG3yY28KDHNrikKbM7R9HGgfH5FeY1Gw7jYhkTG,1000000000000
DAG3ptrUYMzpDC275bD2NrPGoQ6DpkqkfZsP314G,1000000000000
DAG86FPYLvnhQMuTPNPPT2ZfNtTEMQkZYXKSHZGs,1000000000000
DAG3TptE5HzKbZkvaD2H7arp8J1LYbGMAcgFb7Qs,1000000000000
DAG3PGiRjGnUqRdTRAycfHc8ZEqYUS5GAttiv17C,1000000000000
DAG6p3qxpGbgL926sBgTnd55Kht7dG2PU21nZrdq,1000000000000
DAG4jNxEnRReQe8YJSFr6ziPpQs8SHbZL9CqhwfJ,1000000000000
DAG1vjK1oQrycXbdPuwH9EcVdvFrecTbHUUPbnoh,1000000000000
DAG6feuRHeSE5EgZsG4JzoFBsLPzSEYukn6KdjzZ,1000000000000
DAG1SEj4odJdpqbi95QvneYYU9cWSEyLbkexKF1H,1000000000000
DAG3vPQj5oqUE7xYMVsDDbozjePdX4YsRH7Hu7FN,1000000000000
DAG0PwMjM2EW1bfJGNyGqKud7fUhk54uSB8cpwJP,1000000000000
DAG5vaSEEvpN2RwNsuwUbRRKF3yZeHFegViygFKx,1000000000000
DAG7AV6ASNQYMfE9QcAX4ZUGWCWh2GwGEiNfboJ4,1000000000000
DAG71RjeaKAfY72ni46QXD5ExgBrdaw5f4dBWeMj,1000000000000
DAG7EfDC2YJhLRU99pgdhm5LJjHSTHMoCBsFNsBW,1000000000000
DAG5J27XE7PeFeMepiWo71P6HTe8yHyi2MJ1vLyL,1000000000000
DAG3NWGoi9y8PSr98TazvoaXkgKEqaXrJgYjHs5N,1000000000000
DAG8sn6nz4C8Hn6Pco73myBeRpiCurUsrzS1pBso,1000000000000
DAG5P1szQwHHTADhELHVH8n8UVUxVT8uM88YAJBW,1000000000000
DAG0rXhLBqFpeLRUrBusWaX7GnTFS1Zxpch1YvoZ,1000000000000
DAG0Hj3GAxeiABJ61hXhoZ7hbe3rD7adBjjSSWvj,1000000000000
DAG7Jvi6fmGGGcXTB7mtPPj6kdQoxyU6SCNPYbHA,1000000000000
DAG0xpGfMeeRiwyrM21RLXpLMfBgYFxuc65ZQp4D,1000000000000
DAG6zsPPwyB9RJv1x5eeKJx3jE5Zvjqv1cTAfR9Q,1000000000000
DAG8p77xqS5EUuh4mhHXvCeNh8oARSjAtNWZBe4f,1000000000000
DAG55gUEPuXzeEuhH59GhCdnYsumD1FGc3joVuRk,1000000000000
DAG4cRuZZzHQtxyuk7xsA9XbDHFWZc8gdLHM7Kiy,1000000000000
DAG3TifG2V6rRUnn5ZBTcbQvXARQm6JEuvvokfF2,1000000000000
DAG4HCSCYY1GiZmw7ZoPYzg2zzuDz3pkeCUKWJnn,1000000000000
DAG5QxiUaRf7zdUb6QQv52UEWHeDJcg6Zp6sEtZT,1000000000000
DAG8XLnA6LUni813pKcEFA37zajHaNS2UY5BGuTG,1000000000000
DAG86Hf4BbvqcyWUqtAEPbYWkzCm8WP5Yt3PYAcT,1000000000000
DAG2FXLZ7obrjFGPKz9snjniP6W6QEFZsqTpdf1L,1000000000000
DAG79BxLkfdhydxcwQM7BdNQ3FcG3g543UTqtAQy,1000000000000
DAG1x3WnR4o1LRtZqJHtv2ePVEQAvj9PhConxDYE,1000000000000
DAG6XVPoHsHGX6rXo58Ts9hvRdLjVsy8zmT3yr3h,1000000000000
DAG1U1DcDcnqqjmzCJQR5wDnEPuMu5P2pZ1j5fcU,1000000000000
DAG5GCFHP3j4KVyMWXZhy1YnTjLH6AGnkV36PdVP,1000000000000
DAG1xVtuHGjPZfQ4RSPg2HBrTxs1W2wvoAAwmQ1J,1000000000000
DAG0mwn7NgDUXFGaXmXK4PAqs11NMPx5SYcvrqAB,1000000000000
DAG8GLJbtMe17hVPeLesD3YsERpuZH3X3kb9Js9u,1000000000000
DAG6FMz1GfPxedEuisNSmqj5qupZAJxx9muVBzWL,1000000000000
DAG8Lyvnw178kCPNv7bppTksvcr5UKpZKhTTrp43,1000000000000
